name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
CAREWATCH CARE SERVICES LTD,4084.55,01/07/2016,Health and Adult Services,Agency Staff
REDACTED PERSONAL INFORMATION,1710,01/07/2016,Childrens Services,Other Services
REDACTED PERSONAL INFORMATION,-763.8,01/07/2016,Childrens Services,Other Services
J N HANDLEY & SONS,720,01/07/2016,Housing Services HRA,Disturbance Payments
J N HANDLEY & SONS,660,01/07/2016,Housing Services HRA,Disturbance Payments
J N HANDLEY & SONS,780,01/07/2016,Housing Services HRA,Disturbance Payments
J N HANDLEY & SONS,660,01/07/2016,Housing Services HRA,HRA Occupancy Incentives Under Occupancy
J N HANDLEY & SONS,600,01/07/2016,Capital Housing Revenue Acc,Disturbance
GREENWICH CITIZENS ADVICE BUREAU LTD,1203.2,01/07/2016,Regeneration Enterprise and Sk,Apprentice Costs
ELECTRICAL & MECHANICAL SERVICES (UK) LTD,1172.5,01/07/2016,Regeneration Enterprise and Sk,Apprentice Costs
REDACTED PERSONAL INFORMATION,11311.43,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3985.71,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2951.7,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2951.7,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,6428.4,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3502.5,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,5142.9,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,1600,01/07/2016,Childrens Services,Private Home Help Domestic
STAR CARE UK LTD,516.4,01/07/2016,Health and Adult Services,ISF Personal Care
STAR CARE UK LTD,721.86,01/07/2016,Health and Adult Services,ISF Personal Care
STAR CARE UK LTD,847.76,01/07/2016,Health and Adult Services,ISF Personal Care
STAR CARE UK LTD,741.44,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,1922.98,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,1165.12,01/07/2016,Health and Adult Services,ISF Personal Care
STAR CARE UK LTD,556.08,01/07/2016,Health and Adult Services,ISF Personal Care
STAR CARE UK LTD,525.06,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,1227.81,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,700.08,01/07/2016,Health and Adult Services,ISF Personal Care
STAR CARE UK LTD,729.72,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,2408.16,01/07/2016,Health and Adult Services,ISF Personal Care
NEXT STEP FOSTERING SERVICES LTD,3681.3,01/07/2016,Childrens Services,Agency Placements
STAR CARE UK LTD,2367.32,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
NEXT STEP FOSTERING SERVICES LTD,3497.1,01/07/2016,Childrens Services,Agency Placements
STAR CARE UK LTD,793.29,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
NEXT STEP FOSTERING SERVICES LTD,5520,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3557.1,01/07/2016,Childrens Services,Agency Placements
STAR CARE UK LTD,3340.05,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,2406.56,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,6582.3,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,7204.2,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,2089.18,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,5952.6,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3127.93,01/07/2016,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3606.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3127.93,01/07/2016,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3127.93,01/07/2016,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,1925.22,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,3127.93,01/07/2016,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,1779.84,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,4600,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,1648.92,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,800.6,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
SYNERGY FOSTERING LIMITED,3338.7,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3471.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,4628.57,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,1587.79,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
SYNERGY FOSTERING LIMITED,3330,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2654.28,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,801.21,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
SYNERGY FOSTERING LIMITED,3342.9,01/07/2016,Childrens Services,Looked After Children
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,1401.98,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
SYNERGY FOSTERING LIMITED,3600,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3606.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,929.85,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,14668.8,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,866.67,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
STAR CARE UK LTD,1604.82,01/07/2016,Health and Adult Services,Private Home Help Domest Misc
SUPPORTED FOSTERING SERVICES,3329.01,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,4893.64,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3790.37,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,4893.64,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,5571.43,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3162.57,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2730.85,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3162.57,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2730.85,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3162.6,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2628.61,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,4542.28,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3162.6,01/07/2016,Childrens Services,Agency Placements
THE OLIVE SERVICES LTD,3790.37,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,4157.14,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3750,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3790.37,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2651.4,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3707.14,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3342.85,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,4371.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3342.85,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3707.14,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3342.85,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3329.02,01/07/2016,Childrens Services,Agency Placements
THE OLIVE SERVICES LTD,3707.14,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3342.85,01/07/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3857.14,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2744.39,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3162.6,01/07/2016,Childrens Services,Agency Placements
THE OLIVE SERVICES LTD,3814.29,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3329.02,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,4071.43,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2605.71,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,2400,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,2400,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,2400,01/07/2016,Health and Adult Services,Services Private Contractor
CHRYSALIS CARE (FOSTERING) LTD,3433.35,01/07/2016,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3547.8,01/07/2016,Childrens Services,Agency Placements
ACTION ON HEARING LOSS,2400,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,4800,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,4800,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,4800,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,4505.52,01/07/2016,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,7002.48,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,9418.5,01/07/2016,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,3329.02,01/07/2016,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,3329.02,01/07/2016,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,2995.71,01/07/2016,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,3329.02,01/07/2016,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,6385.71,01/07/2016,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,3162.57,01/07/2016,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,3329.02,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,7864.93,01/07/2016,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,2995.71,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3326.1,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3499.5,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,5245.8,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,5406.9,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2550,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,5957.1,01/07/2016,Childrens Services,Agency Placements
ETHELBERT SPECIALIST HOMES LTD,3954.94,01/07/2016,Childrens Services,Agency Placements
ETHELBERT SPECIALIST HOMES LTD,3954.94,01/07/2016,Childrens Services,Agency Placements
ETHELBERT SPECIALIST HOMES LTD,12005.06,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,1212,01/07/2016,Health and Adult Services,PS Residential Respite Care
ETHELBERT SPECIALIST HOMES LTD,4380,01/07/2016,Childrens Services,Agency Placements
ETHELBERT SPECIALIST HOMES LTD,5241,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2654.89,01/07/2016,Health and Adult Services,Services Private Contractor
ETHELBERT SPECIALIST HOMES LTD,3954.94,01/07/2016,Childrens Services,Agency Placements
ETHELBERT SPECIALIST HOMES LTD,5357.14,01/07/2016,Childrens Services,Agency Placements
ETHELBERT SPECIALIST HOMES LTD,10414.29,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,1991.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,2597.15,01/07/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,3924.04,01/07/2016,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,2354.41,01/07/2016,Health and Adult Services,Private Sector Nursing Homes
NEXT STEP FOSTERING SERVICES LTD,3681.3,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3420,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,14571.3,01/07/2016,Childrens Services,Agency Placements
XCEL 2000 FOSTERCARE SERVICES LIMITED,3248.57,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2100,01/07/2016,Health and Adult Services,Services Private Contractor
XCEL 2000 FOSTERCARE SERVICES LIMITED,3534,01/07/2016,Childrens Services,Agency Placements
XCEL 2000 FOSTERCARE SERVICES LIMITED,3420,01/07/2016,Childrens Services,Agency Placements
XCEL 2000 FOSTERCARE SERVICES LIMITED,3534,01/07/2016,Childrens Services,Agency Placements
XCEL 2000 FOSTERCARE SERVICES LIMITED,3420,01/07/2016,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,3041.1,01/07/2016,Childrens Services,Agency Placements
XCEL 2000 FOSTERCARE SERVICES LIMITED,3534,01/07/2016,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,2943,01/07/2016,Childrens Services,Agency Placements
XCEL 2000 FOSTERCARE SERVICES LIMITED,3356.86,01/07/2016,Childrens Services,Agency Placements
ANCHOR FOSTERCARE SERVICES LIMITED,5370,01/07/2016,Childrens Services,Agency Placements
ANCHOR FOSTERCARE SERVICES LIMITED,3197.1,01/07/2016,Childrens Services,Agency Placements
ANCHOR FOSTERCARE SERVICES LIMITED,3368.7,01/07/2016,Childrens Services,Agency Placements
ANCHOR FOSTERCARE SERVICES LIMITED,2964.6,01/07/2016,Childrens Services,Agency Placements
ANCHOR FOSTERCARE SERVICES LIMITED,3368.7,01/07/2016,Childrens Services,Agency Placements
ANCHOR FOSTERCARE SERVICES LIMITED,4971.3,01/07/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3300,01/07/2016,Childrens Services,Agency Placements
DAVID HAWKINS,1787.59,01/07/2016,Childrens Services,R and M Day To Day
REDACTED PERSONAL INFORMATION,1890,01/07/2016,Housing Services,Deposits
FRANCIS GYEKYE-MENSAH,1998,01/07/2016,Housing Services,Deposits
MICHAEL HUNTE,1875,01/07/2016,Housing Services,Deposits
T. OLOWU,1815,01/07/2016,Housing Services,Deposits
T. OLOWU,1815,01/07/2016,Housing Services,Deposits
LAURENCE SMALL,1920,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1890,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1890,01/07/2016,Housing Services,Deposits
SOUTHEAST SERVICES,1950,01/07/2016,Housing Services,Deposits
SOUTHEAST SERVICES,1950,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2040,01/07/2016,Housing Services,Deposits
CAMBRIDGE MOTORS,2550,01/07/2016,Housing Services,Deposits
VALERIE MARJORIE BROWN,2400,01/07/2016,Housing Services,Deposits
CAMBRIDGE MOTORS,2460,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2490,01/07/2016,Housing Services,Deposits
ANTHONY SALVATORE BELLINI,2700,01/07/2016,Housing Services,Deposits
KEHINDE A OSUNRAYI & OLUFUNSO O OSUNRAYI,2400,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2550,01/07/2016,Housing Services,Deposits
"OLIVER, MARY & DAVID CORCORAN T/A MIDWAY PROPERTY",3300,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2550,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2550,01/07/2016,Housing Services,Deposits
INDIGO PROPERTY MANAGEMENT,3150,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,3000,01/07/2016,Housing Services,Deposits
L KOLAWOLE OLANIYAN,2445,01/07/2016,Housing Services,Deposits
OLUWATOYIN ODEPE,2700,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2820,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2520,01/07/2016,Housing Services,Deposits
BARNES GOLD LIMITED,3300,01/07/2016,Housing Services,Deposits
OMOLARA AKINPELU,1860,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2400,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,3000,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2550,01/07/2016,Housing Services,Deposits
DAVID TOWNSLEY & SUSAN TOWNSLEY,2235,01/07/2016,Housing Services,Deposits
DENISE HATT,1920,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,3150,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2550,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2040,01/07/2016,Housing Services,Deposits
JOYCE EKI OLAGHERE,2475,01/07/2016,Housing Services,Deposits
C GELKOPF,1890,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1860,01/07/2016,Housing Services,Deposits
MICHAEL MCLOUGHLIN,1860,01/07/2016,Housing Services,Deposits
INVENTICA PHARMA LIMITED,2550,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2760,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2850,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2400,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2529,01/07/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,2700,01/07/2016,Housing Services,Deposits
