name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"5,722.50", 03/07/2017,Childrens Services,Agency Placements
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"5,150.40", 03/07/2017,Childrens Services,Agency Placements
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"3,192.00", 03/07/2017,Childrens Services,Agency Placements
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"3,360.00", 03/07/2017,Childrens Services,Agency Placements
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"4,892.70", 03/07/2017,Childrens Services,Agency Placements
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"4,800.60", 03/07/2017,Childrens Services,Agency Placements
CLEARWATER CARE (HACKNEY) LTD,"5,348.64", 03/07/2017,Health and Adult Services,Supported Living
CLEARWATER CARE (HACKNEY) LTD,"6,053.68", 03/07/2017,Health and Adult Services,Supported Living
CLEARWATER CARE (HACKNEY) LTD,"5,409.44", 03/07/2017,Health and Adult Services,Supported Living
CLEARWATER CARE (HACKNEY) LTD,"5,146.04", 03/07/2017,Health and Adult Services,Supported Living
CLEARWATER CARE (HACKNEY) LTD,"5,320.28", 03/07/2017,Health and Adult Services,Services Private Contractor
CLEARWATER CARE (HACKNEY) LTD,"7,347.00", 03/07/2017,Health and Adult Services,Services Private Contractor
FRESH ACRES NURSERIES LTD,"2,088.58", 03/07/2017,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,"4,760.28", 03/07/2017,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,378.00, 03/07/2017,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,460.80, 03/07/2017,Comm Safety and Environment,Materials
CAPITA IT SERVICES (BSF) LIMITED,"4,562.10", 03/07/2017,Modernisation,Ext Consultants Fees
AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD,"39,052.33", 03/07/2017,Regeneration Enterprise and Sk,Professional Fees
AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD,"34,922.16", 03/07/2017,Other General Fund,Ext Architects Fees
QUAY OFFICE FURNISHERS LTD,"1,158.00", 03/07/2017,Childrens Services,Materials
AF STARR BUILDING CONTRACTORS,"6,780.00", 03/07/2017,Planned Maintenance,Fence
CALDER INSULATIONS LIMITED (JR FOWLER A/F),"14,232.00", 03/07/2017,Comm Safety and Environment,Asbestos Analysis
CALDER INSULATIONS LIMITED (JR FOWLER A/F),"9,072.00", 03/07/2017,Comm Safety and Environment,Asbestos Analysis
GREENWICH CO-OPERATIVE DEVELOPMENT AGENCY,"2,500.00", 03/07/2017,Regeneration Enterprise and Sk,Services Private Contractor
DAVID PHILLIPS FURNITURE LTD,45.59, 03/07/2017,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,50.39, 03/07/2017,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,19.18, 03/07/2017,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,9.58, 03/07/2017,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,4.78, 03/07/2017,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,21.59, 03/07/2017,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,21.59, 03/07/2017,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,162.00, 03/07/2017,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,34.80, 03/07/2017,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,194.15, 03/07/2017,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,186.33, 03/07/2017,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,30.00, 03/07/2017,Chief Executives,ESS Care Grant Electrical
WEALDEN REHAB LTD,"4,683.34", 03/07/2017,Health and Adult Services,Other Services
ADT FIRE AND SECURITY PLC,"4,489.07", 03/07/2017,Other General Fund,Security
HOUSING FOR WOMEN,"35,557.12", 03/07/2017,Housing Services,Services by External Providers
POTTER RAPER PARTNERSHIP,702.00, 03/07/2017,Capital Housing Revenue Acc,Ext Consultants Fees
HEALTHWATCH GREENWICH LTD,"9,781.88", 03/07/2017,Health and Adult Services,MIsc
SAVILLS ( UK ) LIMITED,"8,265.84", 03/07/2017,Capital Housing Revenue Acc,Ext Consultants Fees
CALVERTON FINANCE LIMITED,"1,920.00", 03/07/2017,Transportation Schemes,General Payments
BT PLC,558.74, 03/07/2017,Housing Services HRA,Telephones
ROOM NINE MEDIA LTD,"2,216.85", 03/07/2017,Transportation Schemes,General Payments
ROOM NINE MEDIA LTD,-640.00, 03/07/2017,Transportation Schemes,General Payments
ROOM NINE MEDIA LTD,768.00, 03/07/2017,Transportation Schemes,General Payments
ROYAL MAIL GROUP LTD,"2,846.53", 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,61.94, 03/07/2017,Eltham Crematorium Revenue,Postage - Royal Mail
ROYAL MAIL GROUP LTD,133.86, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,104.77, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,123.56, 03/07/2017,Housing Services HRA,Postage - Royal Mail
ROYAL MAIL GROUP LTD,"1,033.61", 03/07/2017,Housing Services HRA,Postage - Royal Mail
ROYAL MAIL GROUP LTD,121.00, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,80.47, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,618.88, 03/07/2017,Regeneration Enterprise and Sk,Postage - Royal Mail
ROYAL MAIL GROUP LTD,45.13, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,272.44, 03/07/2017,Regeneration Enterprise and Sk,Postage - Royal Mail
ROYAL MAIL GROUP LTD,"9,191.69", 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,620.76, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,"1,201.62", 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,963.79, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,141.94, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,94.97, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,710.38, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,5.88, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,32.55, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,2.17, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,2.17, 03/07/2017,Housing Services HRA,Postage - Royal Mail
ROYAL MAIL GROUP LTD,1.47, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,2.94, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,2.17, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,"2,436.19", 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,55.87, 03/07/2017,Eltham Crematorium Revenue,Postage - Royal Mail
ROYAL MAIL GROUP LTD,141.07, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,4.41, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,21.70, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,44.89, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,2.94, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,942.59, 03/07/2017,Housing Services HRA,Postage - Royal Mail
ROYAL MAIL GROUP LTD,108.49, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,620.94, 03/07/2017,Regeneration Enterprise and Sk,Postage - Royal Mail
ROYAL MAIL GROUP LTD,"2,310.46", 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,119.07, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,143.22, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,341.30, 03/07/2017,Regeneration Enterprise and Sk,Postage - Royal Mail
ROYAL MAIL GROUP LTD,"1,310.24", 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,751.57, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,606.83, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,4.34, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,798.90, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,4.34, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,114.95, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,41.65, 03/07/2017,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,153.16, 03/07/2017,Chief Executives,Postage - Royal Mail
SAVILLS ( UK ) LIMITED,"3,357.00", 03/07/2017,Capital Housing Revenue Acc,Ext Consultants Fees
P & R INSTALLATION CO LTD,"9,648.00", 03/07/2017,Capital Housing Revenue Acc,Refurbishment
OPENVIEW SECURITY SOLUTIONS LTD,"3,685.64", 03/07/2017,Housing Services HRA,Equipment
RAVENSBOURNE COLLEGE,"8,100.00", 03/07/2017,Regeneration Enterprise and Sk,Services Private Contractor
AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD,"34,626.46", 03/07/2017,Other General Fund,Ext Architects Fees
AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD,"33,466.66", 03/07/2017,Other General Fund,Ext Architects Fees
ENERGY AUDITING AGENCY LIMITED [TEAM],"1,849.92", 03/07/2017,Regeneration Enterprise and Sk,Other Services
PROBUILD (LONDON) LTD,536.99, 03/07/2017,Planned Maintenance,Fence
PROBUILD (LONDON) LTD,261.97, 03/07/2017,Planned Maintenance,Fence
ENERGY AUDITING AGENCY LIMITED [TEAM],"3,099.73", 03/07/2017,Regeneration Enterprise and Sk,Other Services
STEER DAVIS GLEAVE,"6,480.00", 03/07/2017,Transportation Schemes,General Payments
BALTIMORE CONSULTING LTD,"1,728.00", 03/07/2017,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,"2,160.00", 03/07/2017,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,"2,214.00", 03/07/2017,Childrens Services,Agency Staff
THAMES ELECTRICAL SUPPLIES,"1,305.65", 03/07/2017,Housing Services HRA,Electrical Testing
SIGNWARE,"2,063.70", 03/07/2017,Housing Services HRA,Estate Signage
BALTIMORE CONSULTING LTD,"2,460.00", 03/07/2017,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,"2,160.00", 03/07/2017,Childrens Services,Agency Staff
JADU LIMITED,"19,560.00", 03/07/2017,Chief Executives,Small Systems Budget
THAMES ELECTRICAL SUPPLIES,"2,191.32", 03/07/2017,Capital Housing Revenue Acc,General Payments
TAVCOM LTD,"2,220.00", 03/07/2017,Comm Safety and Environment,Training Expenses
TAVCOM LTD,"2,220.00", 03/07/2017,Comm Safety and Environment,Training Expenses
EARTH ANCHORS LTD,987.60, 03/07/2017,Comm Safety and Environment,Materials
THE NEW LODGE RIDING CENTRE,"3,075.00", 03/07/2017,Childrens Services,Grants To Voluntary Organ
CMP THAMES LTD,"270,960.34", 03/07/2017,Regeneration Enterprise and Sk,Services Private Contractor
CMP THAMES LTD,"-8,106.60", 03/07/2017,Corporate Accounts,Tax Withheld
TOPCOAT CONSTRUCTION LTD,"8,571.49", 03/07/2017,Regeneration Enterprise Skills,Expenditure Payments
ARGENT FM LIMITED,"11,729.09", 03/07/2017,Regeneration Enterprise Skills,Expenditure Payments
ADT FIRE AND SECURITY PLC,"4,034.75", 03/07/2017,Regeneration Enterprise Skills,Expenditure Payments
ARGENT FM LIMITED,"5,469.72", 03/07/2017,Regeneration Enterprise Skills,Expenditure Payments
LAKER BUILDING MANAGEMENT SOLUTIONS LTD,"19,190.53", 03/07/2017,Regeneration Enterprise Skills,Expenditure Payments
GREENWICH SERVICE PLUS LIMITED,"619,711.95", 04/07/2017,Corporate,External Payments
GREENWICH SERVICE PLUS LIMITED,"644,422.82", 04/07/2017,Corporate,External Payments
CASTLE WATER LIMITED,939.45, 04/07/2017,Comm Safety and Environment,Water
DUREY CASTINGS LIMITED,540.00, 04/07/2017,Housing Services,Materials
SOUTH OF ENGLAND FOUNDATION,"28,750.00", 04/07/2017,Childrens Services,Grants To Voluntary Organ
ROOM NINE MEDIA LTD,"2,339.52", 04/07/2017,Transportation Schemes,General Payments
SELCHP,"604,999.76", 04/07/2017,Comm Safety and Environment,Services Private Contractor
LUMINA PRIME 8 LIMITED,"125,237.53", 04/07/2017,Other General Fund,Demolition
TROWERS & HAMLINS LLP,"3,541.74", 04/07/2017,Comm Safety and Environment,Professional Fees
BALTIMORE CONSULTING LTD,"2,160.00", 04/07/2017,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,"2,160.00", 04/07/2017,Childrens Services,Agency Staff
REDACTED PERSONAL INFORMATION,"6,737.50", 04/07/2017,Childrens Services,Services Other Local Author
BALTIMORE CONSULTING LTD,"1,968.00", 04/07/2017,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,"1,860.00", 04/07/2017,Childrens Services,Agency Staff
HOUSING OMBUDSMAN SERVICE,"27,300.09", 04/07/2017,Housing Services HRA,MIsc
BT PLC,773.66, 04/07/2017,Housing Services HRA,Communal Plant Maintenance
BT PLC,772.95, 04/07/2017,Housing Services HRA,Communal Plant Maintenance
REDACTED PERSONAL INFORMATION,567.00, 04/07/2017,Childrens Services,Higher Education
REDACTED PERSONAL INFORMATION,956.16, 04/07/2017,Health and Adult Services,Rents Other
LONDON CARE LTD,826.00, 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
LONDON CARE LTD,848.13, 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
LONDON CARE LTD,"1,032.50", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
SUPPORTED FOSTERING SERVICES,"3,329.02", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"5,571.43", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"4,893.64", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"4,893.64", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,329.02", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"2,995.71", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"2,995.71", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,329.02", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,329.01", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,162.57", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,162.56", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,162.60", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,162.57", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,162.60", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,162.60", 04/07/2017,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"6,775.71", 04/07/2017,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"12,085.67", 04/07/2017,Childrens Services,Agency Placements
BEST VALUE HOME CARE SERVICES UK LTD,652.47, 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"1,012.88", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"2,008.40", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"1,813.71", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"1,900.00", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
VOYAGE 1 LTD,"6,851.20", 04/07/2017,Health and Adult Services,Services Private Contractor
VOYAGE 1 LTD,"7,032.00", 04/07/2017,Health and Adult Services,Services Private Contractor
ACTION ON HEARING LOSS,695.50, 04/07/2017,Health and Adult Services,Client Support
ACTION ON HEARING LOSS,"1,079.00", 04/07/2017,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"3,085.50", 04/07/2017,Childrens Services,Agency Placements
ACTION ON HEARING LOSS,962.00, 04/07/2017,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"3,085.50", 04/07/2017,Childrens Services,Agency Placements
ACTION ON HEARING LOSS,962.00, 04/07/2017,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"3,085.50", 04/07/2017,Childrens Services,Agency Placements
ACTION ON HEARING LOSS,962.00, 04/07/2017,Health and Adult Services,Client Support
ACTION ON HEARING LOSS,962.00, 04/07/2017,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"1,542.60", 04/07/2017,Childrens Services,Agency Placements
ACTION ON HEARING LOSS,"1,066.00", 04/07/2017,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"3,085.50", 04/07/2017,Childrens Services,Agency Placements
BEXLEY CROSSROADS CARE LTD,565.39, 04/07/2017,Health and Adult Services,ISF Personal Care
BEXLEY CROSSROADS CARE LTD,"1,199.73", 04/07/2017,Health and Adult Services,ISF Personal Care
CHOICE SUPPORT LTD,"3,449.52", 04/07/2017,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"7,015.14", 04/07/2017,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"1,475.54", 04/07/2017,Health and Adult Services,Private Sector Nursing Homes
CRAEGMOOR OAKS SIDCUP PRIORY,"4,045.71", 04/07/2017,Health and Adult Services,Private Sector Nursing Homes
HEADWAY SELNWK LTD,504.00, 04/07/2017,Health and Adult Services,Client Support
HEADWAY SELNWK LTD,864.00, 04/07/2017,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,731.50, 04/07/2017,Health and Adult Services,Voluntary Bodies Other Care
REDACTED PERSONAL INFORMATION,616.00, 04/07/2017,Health and Adult Services,Voluntary Bodies Other Care
THE OLIVE SERVICES LTD,"3,942.86", 04/07/2017,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,"4,028.57", 04/07/2017,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,"3,942.86", 04/07/2017,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,"4,157.14", 04/07/2017,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,"4,071.43", 04/07/2017,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,"3,814.29", 04/07/2017,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,"3,268.02", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,267.98", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"5,056.76", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,268.02", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,439.98", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,439.98", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,267.98", 04/07/2017,Childrens Services,Agency Placements
HEADWAY SELNWK LTD,864.00, 04/07/2017,Health and Adult Services,Client Support
SUPPORTED FOSTERING SERVICES,"3,267.98", 04/07/2017,Childrens Services,Agency Placements
HEADWAY SELNWK LTD,"1,008.00", 04/07/2017,Health and Adult Services,Client Support
SUPPORTED FOSTERING SERVICES,"3,268.02", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,439.98", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"5,056.76", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"5,757.14", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,095.57", 04/07/2017,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"3,095.57", 04/07/2017,Childrens Services,Agency Placements
STAR CARE UK LTD,"2,088.91", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"2,112.48", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"1,347.93", 04/07/2017,Health and Adult Services,Private Home Help Domest Misc
